  #K-Path    Energy        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    1.898  -56.5087     0.996     0.000
    1.919  -56.5087     0.996     0.000
    1.939  -56.5087     0.996     0.000
    1.959  -56.5087     0.996     0.000
    1.980  -56.5087     0.992     0.000
    2.000  -56.5087     0.992     0.000
    2.020  -56.5087     0.992     0.000
    2.041  -56.5087     0.996     0.000
    2.061  -56.5087     0.996     0.000
    2.081  -56.5087     0.996     0.000
    2.102  -56.5087     0.992     0.000
    2.122  -56.5087     0.996     0.000
    2.142  -56.5087     0.996     0.000
    2.163  -56.5086     0.996     0.000
    2.183  -56.5086     0.992     0.000
    2.203  -56.5086     0.996     0.000
    2.224  -56.5086     0.996     0.000
    2.244  -56.5086     0.996     0.000
    2.265  -56.5085     0.996     0.000
    2.285  -56.5085     0.996     0.000
    2.285  -56.5085     0.994     0.000
    2.314  -56.5086     0.996     0.000
    2.343  -56.5089     0.996     0.000
    2.373  -56.5094     0.996     0.000
    2.402  -56.5101     0.996     0.000
    2.431  -56.5110     0.992     0.000
    2.460  -56.5120     0.996     0.000
    2.490  -56.5132     0.996     0.000
    2.519  -56.5146     0.992     0.000
    2.548  -56.5162     0.996     0.000
    2.577  -56.5178     0.992     0.000
    2.607  -56.5197     0.996     0.000
    2.636  -56.5216     0.996     0.000
    2.665  -56.5236     0.996     0.000
    2.695  -56.5258     0.992     0.000
    2.724  -56.5280     0.996     0.000
    2.753  -56.5303     0.996     0.000
    2.782  -56.5326     0.996     0.000
    2.812  -56.5350     0.996     0.000
    2.841  -56.5373     0.992     0.000
    2.841  -56.5373     0.996     0.000
    2.870  -56.5372     0.994     0.000
    2.899  -56.5370     0.994     0.000
    2.929  -56.5365     0.994     0.000
    2.958  -56.5358     0.994     0.000
    2.987  -56.5350     0.992     0.000
    3.016  -56.5340     0.994     0.000
    3.046  -56.5328     0.996     0.000
    3.075  -56.5314     0.994     0.000
    3.104  -56.5299     0.996     0.000
    3.133  -56.5283     0.994     0.000
    3.163  -56.5265     0.996     0.000
    3.192  -56.5246     0.996     0.000
    3.221  -56.5226     0.996     0.000
    3.250  -56.5206     0.994     0.000
    3.280  -56.5184     0.996     0.000
    3.309  -56.5162     0.996     0.000
    3.338  -56.5139     0.994     0.000
    3.368  -56.5116     0.994     0.000
    3.397  -56.5092     0.995     0.000
    3.397  -56.5092     0.996     0.000
    3.438  -56.5092     0.994     0.000
    3.480  -56.5092     0.996     0.000
    3.521  -56.5092     0.994     0.000
    3.562  -56.5092     0.996     0.000
    3.604  -56.5091     0.996     0.000
    3.645  -56.5091     0.996     0.000
    3.686  -56.5090     0.994     0.000
    3.728  -56.5090     0.998     0.000
    3.769  -56.5089     0.994     0.000
    3.811  -56.5089     0.994     0.000
    3.852  -56.5088     0.994     0.000
    3.893  -56.5087     0.996     0.000
    3.935  -56.5087     0.996     0.000
    3.976  -56.5086     0.994     0.000
    4.018  -56.5086     0.994     0.000
    4.059  -56.5086     0.996     0.000
    4.100  -56.5085     0.996     0.000
    4.142  -56.5085     0.996     0.000
    4.183  -56.5085     0.996     0.000
    4.183  -56.5371     0.996     0.000
    4.203  -56.5371     0.992     0.000
    4.224  -56.5371     0.996     0.000
    4.244  -56.5371     0.992     0.000
    4.264  -56.5371     0.992     0.000
    4.285  -56.5371     0.992     0.000
    4.305  -56.5371     0.996     0.000
    4.326  -56.5371     0.996     0.000
    4.346  -56.5371     0.996     0.000
